"Category","Posting Date","Location","Description","Payment Method","Amount",,
"Payments Made Electronically",11/24/10," ","Payroll          PAYROLL    Nov 24 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",11/22/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",11/18/10," ","Payroll          PAYROLL    Nov 18 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$177.95,,
"Payments Made Electronically",11/18/10," ","Payroll          PAYROLL    Nov 18 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",11/15/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",11/15/10," ","FXOL FGN CUR WR @ 15.0 USD - EXCHANGE RATE: 1.0000","SQLFusion LLC checking XXXXXX6152",$15.00,,
"Payments Made Electronically",11/15/10," ","IRS              USATAXPYMT 111510 227071966009506 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152","$1,091.24",,
"Payments Made Electronically",11/12/10," ","Payroll          Tax        Nov 11 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$3.06,,
"Payments Made Electronically",11/10/10," ","// WIRE   FOR 203120.00 INR AT 43.284","SQLFusion LLC checking XXXXXX6152","$4,692.73",,
"Payments Made Electronically",11/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$123.58,,
"Payments Made Electronically",11/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.48,,
"Payments Made Electronically",11/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$10.87,,
"Payments Made Electronically",11/10/10," ","BANKCARD FEE ADJUSTMENT    -     0226313173","SQLFusion LLC checking XXXXXX6152",$25.00,,
"Payments Made Electronically",11/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$49.95,,
"Payments Made Electronically",11/10/10," ","Payroll          PAYROLL    Nov 10 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",11/08/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",11/04/10," ","Payroll          PAYROLL    Nov 04 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",11/01/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",11/01/10," ","ONLINE TRANSFER TO LEWICKI C               REF #IBEQKVL8VC CUSTOM MANAGEMENT(RM)      COACHING TRANSFER","SQLFusion LLC checking XXXXXX6152",$937.18,,
"Payments Made Electronically",10/29/10," ","Payroll          Tax        Oct 29 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$40.13,,
"Payments Made Electronically",10/28/10," ","Payroll          PAYROLL    Oct 28 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",10/25/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",10/21/10," ","Payroll          PAYROLL    Oct 21 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",10/18/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",10/15/10," ","IRS              USATAXPYMT 101510 227068866021908 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$885.86,,
"Payments Made Electronically",10/14/10," ","Payroll          PAYROLL    Oct 14 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$109.50,,
"Payments Made Electronically",10/14/10," ","Payroll          PAYROLL    Oct 14 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",10/14/10," ","Payroll          Tax        Oct 14 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$3.21,,
"Payments Made Electronically",10/13/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$58.38,,
"Payments Made Electronically",10/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",10/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.10,,
"Payments Made Electronically",10/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.57,,
"Payments Made Electronically",10/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$62.46,,
"Payments Made Electronically",10/12/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",10/07/10," ","Payroll          PAYROLL    Oct 07 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$143.71,,
"Payments Made Electronically",10/07/10," ","Payroll          PAYROLL    Oct 07 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",10/05/10," ","// INR 43.33 231402.00 944044  -000","SQLFusion LLC checking XXXXXX6152","$5,340.46",,
"Payments Made Electronically",10/04/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",09/30/10," ","Payroll          PAYROLL    Sep 30 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",09/27/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",09/24/10," ","Payroll          PAYROLL    Sep 24 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",09/20/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",09/17/10," ","Payroll          PAYROLL    Sep 17 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",09/17/10," ","Payroll          PAYROLL    Sep 17 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$13.70,,
"Payments Made Electronically",09/15/10," ","IRS              USATAXPYMT 091510 227065866016476 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$912.46,,
"Payments Made Electronically",09/14/10," ","Payroll          Tax        Sep 14 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$5.28,,
"Payments Made Electronically",09/13/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",09/13/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$83.44,,
"Payments Made Electronically",09/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.94,,
"Payments Made Electronically",09/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",09/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.39,,
"Payments Made Electronically",09/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.67,,
"Payments Made Electronically",09/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$150.82,,
"Payments Made Electronically",09/09/10," ","Payroll          PAYROLL    Sep 09 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",09/07/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",09/03/10," ","Payroll          PAYROLL    Sep 03 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$251.13,,
"Payments Made Electronically",09/03/10," ","Payroll          PAYROLL    Sep 03 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",08/30/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",08/27/10," ","Payroll          PAYROLL    Aug 27 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$205.31,,
"Payments Made Electronically",08/27/10," ","Payroll          PAYROLL    Aug 27 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",08/23/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",08/20/10," ","Payroll          PAYROLL    Aug 20 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$54.75,,
"Payments Made Electronically",08/19/10," ","Payroll          PAYROLL    Aug 19 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",08/16/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",08/16/10," ","IRS              USATAXPYMT 081610 227062866007932 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152","$1,184.22",,
"Payments Made Electronically",08/13/10," ","Payroll          Tax        Aug 13 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$10.14,,
"Payments Made Electronically",08/12/10," ","Payroll          PAYROLL    Aug 12 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",08/11/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$212.02,,
"Payments Made Electronically",08/11/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",08/11/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.79,,
"Payments Made Electronically",08/11/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$4.65,,
"Payments Made Electronically",08/11/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$9.33,,
"Payments Made Electronically",08/11/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$51.05,,
"Payments Made Electronically",08/09/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",08/05/10," ","Payroll          PAYROLL    Aug 05 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$177.94,,
"Payments Made Electronically",08/05/10," ","Payroll          PAYROLL    Aug 05 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",08/02/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",07/29/10," ","Payroll          PAYROLL    Jul 29 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$123.18,,
"Payments Made Electronically",07/29/10," ","Payroll          PAYROLL    Jul 29 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",07/26/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",07/23/10," ","Payroll          PAYROLL    Jul 23 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",07/19/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",07/15/10," ","IRS              USATAXPYMT 071510 227059666023282 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152","$1,029.87",,
"Payments Made Electronically",07/15/10," ","Payroll          PAYROLL    Jul 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",07/15/10," ","Payroll          PAYROLL    Jul 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$198.48,,
"Payments Made Electronically",07/15/10," ","Payroll          Tax        Jul 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$20.93,,
"Payments Made Electronically",07/15/10," ","Payroll          Tax        Jul 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$24.45,,
"Payments Made Electronically",07/14/10," ","IRS              USATAXPYMT 071410 227059566006842 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152","$1,048.78",,
"Payments Made Electronically",07/14/10," ","IRS              USATAXPYMT 071410 227059566006846 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$839.02,,
"Payments Made Electronically",07/13/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.43,,
"Payments Made Electronically",07/13/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$63.34,,
"Payments Made Electronically",07/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.39,,
"Payments Made Electronically",07/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$1.18,,
"Payments Made Electronically",07/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.34,,
"Payments Made Electronically",07/13/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",07/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.34,,
"Payments Made Electronically",07/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$125.94,,
"Payments Made Electronically",07/13/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.33,,
"Payments Made Electronically",07/12/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",07/09/10," ","Payroll          PAYROLL    Jul 09 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",07/09/10," ","Payroll          PAYROLL    Jul 09 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$298.91,,
"Payments Made Electronically",07/06/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",07/01/10," ","Payroll          PAYROLL    Jul 01 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$130.03,,
"Payments Made Electronically",07/01/10," ","Payroll          PAYROLL    Jul 01 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",06/28/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",06/24/10," ","Payroll          PAYROLL    Jun 24 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$459.16,,
"Payments Made Electronically",06/24/10," ","Payroll          PAYROLL    Jun 24 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",06/21/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",06/17/10," ","Payroll          PAYROLL    Jun 17 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$203.95,,
"Payments Made Electronically",06/17/10," ","Payroll          PAYROLL    Jun 17 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",06/14/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",06/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.88,,
"Payments Made Electronically",06/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.48,,
"Payments Made Electronically",06/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$164.00,,
"Payments Made Electronically",06/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.39,,
"Payments Made Electronically",06/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$4.38,,
"Payments Made Electronically",06/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",06/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.11,,
"Payments Made Electronically",06/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$6.10,,
"Payments Made Electronically",06/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$56.04,,
"Payments Made Electronically",06/10/10," ","Payroll          PAYROLL    Jun 10 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$177.93,,
"Payments Made Electronically",06/10/10," ","Payroll          PAYROLL    Jun 10 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",06/07/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",06/03/10," ","Payroll          PAYROLL    Jun 03 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",06/01/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",05/27/10," ","Payroll          PAYROLL    May 27 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",05/24/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",05/20/10," ","Payroll          PAYROLL    May 20 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",05/17/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",05/13/10," ","Payroll          PAYROLL    May 13 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.70,,
"Payments Made Electronically",05/12/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",05/12/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$9.90,,
"Payments Made Electronically",05/12/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$65.84,,
"Payments Made Electronically",05/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$1.58,,
"Payments Made Electronically",05/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.56,,
"Payments Made Electronically",05/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",05/12/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.44,,
"Payments Made Electronically",05/12/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.71,,
"Payments Made Electronically",05/12/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$48.86,,
"Payments Made Electronically",05/10/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",05/06/10," ","Payroll          PAYROLL    May 06 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",05/03/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",04/29/10," ","Payroll          PAYROLL    Apr 29 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",04/26/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",04/22/10," ","Payroll          PAYROLL    Apr 22 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",04/19/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",04/16/10," ","Payroll          PAYROLL    Apr 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.70,,
"Payments Made Electronically",04/15/10," ","IRS              USATAXPYMT 041510 227050566013802 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$839.02,,
"Payments Made Electronically",04/12/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",04/12/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$4.95,,
"Payments Made Electronically",04/12/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$60.83,,
"Payments Made Electronically",04/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.79,,
"Payments Made Electronically",04/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.76,,
"Payments Made Electronically",04/12/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",04/12/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$55.76,,
"Payments Made Electronically",04/08/10," ","Payroll          PAYROLL    Apr 08 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",04/05/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",04/01/10," ","Payroll          PAYROLL    Apr 01 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",03/29/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",03/25/10," ","Payroll          PAYROLL    Mar 25 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",03/22/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",03/18/10," ","Payroll          PAYROLL    Mar 18 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",03/15/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",03/15/10," ","IRS              USATAXPYMT 031510 227047466024950 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$839.02,,
"Payments Made Electronically",03/11/10," ","Payroll          PAYROLL    Mar 11 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.70,,
"Payments Made Electronically",03/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$78.88,,
"Payments Made Electronically",03/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.49,,
"Payments Made Electronically",03/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",03/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.36,,
"Payments Made Electronically",03/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$55.94,,
"Payments Made Electronically",03/08/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",03/04/10," ","Payroll          PAYROLL    Mar 04 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",03/01/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",02/25/10," ","Payroll          PAYROLL    Feb 25 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",02/22/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",02/19/10," ","IRS              USATAXPYMT 021910 227045066007176 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152","$1,048.78",,
"Payments Made Electronically",02/18/10," ","Payroll          PAYROLL    Feb 18 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",02/16/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",02/11/10," ","Payroll          PAYROLL    Feb 11 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.70,,
"Payments Made Electronically",02/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$75.83,,
"Payments Made Electronically",02/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.46,,
"Payments Made Electronically",02/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$1.50,,
"Payments Made Electronically",02/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$7.50,,
"Payments Made Electronically",02/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$3.66,,
"Payments Made Electronically",02/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.79,,
"Payments Made Electronically",02/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$0.79,,
"Payments Made Electronically",02/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$30.70,,
